transaction_id,customer_id,product_id,transaction_date,product_name,category,quantity,unit_price,total_amount,cost_price,profit,customer_segment,acquisition_channel,region,age_group,payment_method,sales_rep,registration_date,month_year,quarter,day_of_week,customer_lifetime_days
10853,460,50,1/1/23,Floor Cushion,Electronics,3,4.84,14.52,3.96,2.64,Frequent,Referral,West,46-55,Debit Card,Carol Davis,3/2/23,2023-01,2023Q1,Sunday,-60
14652,938,27,1/1/23,Hiking Boots,Beauty,1,5.99,5.99,6.14,-0.15,Budget Conscious,Email,West,46-55,PayPal,Bob Smith,4/18/23,2023-01,2023Q1,Sunday,-107
4183,2285,35,1/1/23,Recipe Book,Home & Garden,3,37.41,112.23,19.39,54.06,Premium,Referral,North,18-25,Cash,David Wilson,6/13/23,2023-01,2023Q1,Sunday,-163
10127,1606,13,1/1/23,Fitness Tracker,Books,2,18.46,36.92,15.11,6.7,Budget Conscious,Social Media,Central,46-55,Cash,Emma Brown,10/22/23,2023-01,2023Q1,Sunday,-294
10344,1582,38,1/1/23,Succulent Plant,Electronics,2,4.06,8.12,2.83,2.46,Premium,Email,North,46-55,Cash,Alice Johnson,3/23/23,2023-01,2023Q1,Sunday,-81
14679,116,45,1/1/23,Protein Bar,Home & Garden,1,5.53,5.53,3.66,1.87,Frequent,Social Media,South,46-55,Credit Card,David Wilson,8/20/23,2023-01,2023Q1,Sunday,-231
8537,1170,19,1/1/23,Kitchen Scale,Electronics,5,8.44,42.2,5.85,12.95,Occasional,Email,North,18-25,Cash,Carol Davis,2/4/23,2023-01,2023Q1,Sunday,-34
4196,2436,42,1/1/23,Car Organizer,Beauty,3,18.44,55.32,17.63,2.43,Budget Conscious,Direct,West,18-25,Debit Card,David Wilson,9/8/23,2023-01,2023Q1,Sunday,-250
11712,237,40,1/1/23,Dumbbells,Automotive,2,22.47,44.94,13.64,17.66,Occasional,Direct,Central,36-45,Debit Card,Emma Brown,12/27/23,2023-01,2023Q1,Sunday,-360
8530,2226,22,1/1/23,Car Phone Mount,Books,3,16.29,48.87,12.11,12.54,Frequent,Referral,East,18-25,PayPal,Emma Brown,2/24/23,2023-01,2023Q1,Sunday,-54
8529,2058,8,1/1/23,Phone Case,Clothing,3,26.75,80.25,29.22,-7.41,Budget Conscious,Email,Central,56+,Cash,Emma Brown,4/18/23,2023-01,2023Q1,Sunday,-107
5276,501,35,1/1/23,Recipe Book,Home & Garden,2,37.4,74.8,19.39,36.02,Premium,Direct,North,36-45,PayPal,Emma Brown,7/29/23,2023-01,2023Q1,Sunday,-209
7057,525,4,1/1/23,Coffee Maker,Beauty,3,57.72,173.16,57.75,-0.09,Occasional,Email,East,26-35,Debit Card,Alice Johnson,1/30/23,2023-01,2023Q1,Sunday,-29
7943,678,47,1/1/23,Trail Running Shoes,Clothing,8,12.9,103.2,11.52,11.04,Premium,Search Engine,Central,46-55,PayPal,Emma Brown,1/17/23,2023-01,2023Q1,Sunday,-16
4796,1817,40,1/1/23,Dumbbells,Automotive,2,21.6,43.2,13.64,15.92,Frequent,Social Media,North,26-35,PayPal,Emma Brown,11/22/23,2023-01,2023Q1,Sunday,-325
4146,2405,30,1/1/23,Meditation Cushion,Books,2,15.33,30.66,10.65,9.36,Premium,Search Engine,South,46-55,Credit Card,Bob Smith,11/18/23,2023-01,2023Q1,Sunday,-321
14648,1487,50,1/1/23,Floor Cushion,Electronics,2,4.41,8.82,3.96,0.9,Occasional,Direct,East,56+,PayPal,Bob Smith,10/13/23,2023-01,2023Q1,Sunday,-285
8223,89,36,1/1/23,Face Mask Set,Automotive,2,7.87,15.74,5.46,4.82,Premium,Referral,North,26-35,Credit Card,David Wilson,1/14/23,2023-01,2023Q1,Sunday,-13
11669,1910,20,1/1/23,Resistance Bands,Clothing,3,6.63,19.89,3.95,8.04,Occasional,Social Media,Central,18-25,Debit Card,David Wilson,6/9/23,2023-01,2023Q1,Sunday,-159
1300,1996,29,1/1/23,Tool Kit,Beauty,1,9.22,9.22,9.58,-0.36,Budget Conscious,Search Engine,North,56+,Debit Card,Alice Johnson,7/8/23,2023-01,2023Q1,Sunday,-188
3320,157,50,1/1/23,Floor Cushion,Electronics,1,4.5,4.5,3.96,0.54,Occasional,Search Engine,North,18-25,PayPal,Carol Davis,7/8/23,2023-01,2023Q1,Sunday,-188
6350,164,27,1/1/23,Hiking Boots,Beauty,2,6.8,13.6,6.14,1.32,Frequent,Email,West,18-25,PayPal,Emma Brown,5/18/23,2023-01,2023Q1,Sunday,-137
7800,862,48,1/1/23,Sketch Pad,Automotive,4,46.93,187.72,36.72,40.84,Frequent,Direct,South,56+,Cash,David Wilson,5/18/23,2023-01,2023Q1,Sunday,-137
12365,656,2,1/1/23,Smart Watch,Electronics,2,13.54,27.08,14.07,-1.06,Budget Conscious,Referral,Central,56+,Debit Card,Emma Brown,11/22/23,2023-01,2023Q1,Sunday,-325
5125,280,3,1/1/23,Laptop Stand,Electronics,3,30.52,91.56,17.4,39.36,Occasional,Search Engine,Central,26-35,Credit Card,David Wilson,6/4/23,2023-01,2023Q1,Sunday,-154
12947,1710,23,1/1/23,Throw Pillow,Books,2,17.87,35.74,17.25,1.24,Frequent,Email,Central,36-45,Credit Card,Emma Brown,8/14/23,2023-01,2023Q1,Sunday,-225
12367,764,50,1/1/23,Floor Cushion,Electronics,1,4.75,4.75,3.96,0.79,Premium,Direct,North,56+,Credit Card,Carol Davis,10/14/23,2023-01,2023Q1,Sunday,-286
1394,2131,7,1/1/23,Bluetooth Speaker,Clothing,1,70.29,70.29,34.86,35.43,Premium,Email,North,36-45,Debit Card,Alice Johnson,5/17/23,2023-01,2023Q1,Sunday,-136
3900,1727,44,1/1/23,Smart Bulb,Home & Garden,-1,15.22,-15.22,8.16,-7.06,Premium,Direct,South,36-45,Cash,Carol Davis,2/22/23,2023-01,2023Q1,Sunday,-52
13563,713,10,1/1/23,Water Bottle,Electronics,3,26.66,79.98,23.43,9.69,Budget Conscious,Social Media,East,56+,PayPal,Emma Brown,10/8/23,2023-01,2023Q1,Sunday,-280
4662,2057,50,1/1/23,Floor Cushion,Electronics,2,4.04,8.08,3.96,0.16,Budget Conscious,Search Engine,West,18-25,Credit Card,David Wilson,5/18/23,2023-01,2023Q1,Sunday,-137
6423,216,27,1/1/23,Hiking Boots,Beauty,2,6.69,13.38,6.14,1.1,Occasional,Email,North,26-35,Cash,Alice Johnson,7/31/23,2023-01,2023Q1,Sunday,-211
12501,497,22,1/1/23,Car Phone Mount,Books,3,16.32,48.96,12.11,12.63,Premium,Referral,North,26-35,Cash,Carol Davis,4/27/23,2023-01,2023Q1,Sunday,-116
12515,346,42,1/1/23,Car Organizer,Beauty,5,16.61,83.05,17.63,-5.1,Budget Conscious,Social Media,South,36-45,Credit Card,Alice Johnson,1/1/24,2023-01,2023Q1,Sunday,-365
7784,2097,12,1/1/23,Sunglasses,Beauty,-8,13.55,-108.4,7.14,-51.28,Occasional,Email,North,26-35,Cash,Alice Johnson,11/17/23,2023-01,2023Q1,Sunday,-320
14547,2484,5,1/1/23,Running Shoes,Home & Garden,7,15.6,109.2,12.85,19.25,Premium,Social Media,West,36-45,Credit Card,Carol Davis,11/3/23,2023-01,2023Q1,Sunday,-306
1899,542,32,1/2/23,Standing Desk,Clothing,3,94.73,284.19,57.04,113.07,Premium,Social Media,Central,26-35,Cash,David Wilson,11/9/23,2023-01,2023Q1,Monday,-311
12667,25,2,1/2/23,Smart Watch,Electronics,3,18.42,55.26,14.07,13.05,Occasional,Social Media,East,56+,Debit Card,Alice Johnson,5/15/23,2023-01,2023Q1,Monday,-133
2393,1977,4,1/2/23,Coffee Maker,Beauty,3,67.87,203.61,57.75,30.36,Premium,Email,East,36-45,Credit Card,Alice Johnson,6/7/23,2023-01,2023Q1,Monday,-156
7138,1979,49,1/2/23,Screwdriver Set,Home & Garden,3,22.39,67.17,19.05,10.02,Budget Conscious,Email,South,46-55,Cash,David Wilson,10/29/23,2023-01,2023Q1,Monday,-300
14006,1941,42,1/2/23,Car Organizer,Beauty,3,19.39,58.17,17.63,5.28,Budget Conscious,Direct,South,18-25,PayPal,David Wilson,8/7/23,2023-01,2023Q1,Monday,-217
13667,1244,50,1/2/23,Floor Cushion,Electronics,1,4.26,4.26,3.96,0.3,Occasional,Social Media,South,56+,Credit Card,Alice Johnson,1/22/23,2023-01,2023Q1,Monday,-20
9451,2080,10,1/2/23,Water Bottle,Electronics,2,27.15,54.3,23.43,7.44,Frequent,Search Engine,West,36-45,Credit Card,Bob Smith,3/10/23,2023-01,2023Q1,Monday,-67
4641,360,30,1/2/23,Meditation Cushion,Books,1,12.31,12.31,10.65,1.66,Budget Conscious,Social Media,South,26-35,Cash,Emma Brown,9/11/23,2023-01,2023Q1,Monday,-252
3804,906,2,1/2/23,Smart Watch,Electronics,7,17.56,122.92,14.07,24.43,Frequent,Email,South,26-35,Cash,David Wilson,10/27/23,2023-01,2023Q1,Monday,-298
13278,2451,25,1/2/23,Protein Powder,Books,1,12.3,12.3,6.92,5.38,Premium,Social Media,South,18-25,Credit Card,Carol Davis,7/16/23,2023-01,2023Q1,Monday,-195
3874,1282,47,1/2/23,Trail Running Shoes,Clothing,1,14.17,14.17,11.52,2.65,Premium,Search Engine,South,36-45,Debit Card,Emma Brown,3/31/23,2023-01,2023Q1,Monday,-88
9601,1442,37,1/2/23,Gaming Keyboard,Automotive,2,20.81,41.62,14.33,12.96,Budget Conscious,Referral,Central,18-25,Cash,Alice Johnson,6/18/23,2023-01,2023Q1,Monday,-167
13680,2055,41,1/2/23,Aromatherapy Diffuser,Clothing,2,29.86,59.72,23.17,13.38,Budget Conscious,Direct,East,56+,Debit Card,Bob Smith,6/26/23,2023-01,2023Q1,Monday,-175
6102,213,28,1/2/23,Art Supplies,Beauty,1,23.69,23.69,18.83,4.86,Budget Conscious,Email,West,46-55,Cash,David Wilson,2/25/23,2023-01,2023Q1,Monday,-54
6936,1150,8,1/2/23,Phone Case,Clothing,2,35.99,71.98,29.22,13.54,Premium,Referral,North,56+,Credit Card,Bob Smith,7/16/23,2023-01,2023Q1,Monday,-195
9867,1794,27,1/2/23,Hiking Boots,Beauty,1,5.95,5.95,6.14,-0.19,Budget Conscious,Social Media,West,18-25,Cash,Alice Johnson,2/4/23,2023-01,2023Q1,Monday,-33
5828,1805,42,1/2/23,Car Organizer,Beauty,2,16.26,32.52,17.63,-2.74,Budget Conscious,Search Engine,North,36-45,Cash,David Wilson,5/9/23,2023-01,2023Q1,Monday,-127
5657,2201,22,1/2/23,Car Phone Mount,Books,1,15.48,15.48,12.11,3.37,Occasional,Social Media,East,46-55,Credit Card,Carol Davis,3/15/23,2023-01,2023Q1,Monday,-72
11741,238,9,1/2/23,Desk Lamp,Beauty,1,11.72,11.72,10.31,1.41,Occasional,Email,North,26-35,Debit Card,David Wilson,6/2/23,2023-01,2023Q1,Monday,-151
4813,1857,14,1/2/23,Portable Charger,Electronics,3,3.64,10.92,2.31,3.99,Frequent,Social Media,Central,56+,Credit Card,Alice Johnson,5/2/23,2023-01,2023Q1,Monday,-120
12585,1098,49,1/2/23,Screwdriver Set,Home & Garden,8,25.38,203.04,19.05,50.64,Premium,Referral,West,18-25,Credit Card,David Wilson,5/9/23,2023-01,2023Q1,Monday,-127
1289,1458,7,1/2/23,Bluetooth Speaker,Clothing,1,65.45,65.45,34.86,30.59,Occasional,Social Media,South,46-55,Cash,,7/27/23,2023-01,2023Q1,Monday,-206
8611,1382,12,1/2/23,Sunglasses,Beauty,3,12.2,36.6,7.14,15.18,Frequent,Search Engine,West,18-25,Cash,David Wilson,4/22/23,2023-01,2023Q1,Monday,-110
7555,886,41,1/2/23,Aromatherapy Diffuser,Clothing,3,30.46,91.38,23.17,21.87,Occasional,Email,North,18-25,Credit Card,David Wilson,10/12/23,2023-01,2023Q1,Monday,-283
4033,1042,49,1/2/23,Screwdriver Set,Home & Garden,6,22.75,136.5,19.05,22.2,Frequent,Direct,North,36-45,Cash,Emma Brown,5/10/23,2023-01,2023Q1,Monday,-128
7,989,46,1/2/23,Non-stick Pan,Clothing,2,11.33,22.66,6.18,10.3,Premium,Email,Central,46-55,PayPal,Emma Brown,7/3/23,2023-01,2023Q1,Monday,-182
3730,1060,37,1/2/23,Gaming Keyboard,Automotive,2,17.02,34.04,14.33,5.38,Budget Conscious,Referral,West,18-25,Credit Card,Alice Johnson,9/11/23,2023-01,2023Q1,Monday,-252
1815,601,45,1/2/23,Protein Bar,Home & Garden,3,5.37,16.11,3.66,5.13,Occasional,Direct,Central,26-35,Credit Card,Emma Brown,1/3/23,2023-01,2023Q1,Monday,-1
1492,309,4,1/2/23,Coffee Maker,Beauty,3,62.18,186.54,57.75,13.29,Occasional,Referral,Central,18-25,Credit Card,Bob Smith,3/27/23,2023-01,2023Q1,Monday,-84
8629,406,21,1/2/23,Essential Oils,Clothing,3,62.53,187.59,49.04,40.47,Occasional,Social Media,East,56+,Credit Card,David Wilson,2/21/23,2023-01,2023Q1,Monday,-50
11457,835,45,1/2/23,Protein Bar,Home & Garden,2,5.28,10.56,3.66,3.24,Occasional,Search Engine,West,18-25,PayPal,Bob Smith,5/13/23,2023-01,2023Q1,Monday,-131
3493,1159,24,1/2/23,LED Strip Lights,Electronics,1,5.59,5.59,4.25,1.34,Occasional,Social Media,North,46-55,PayPal,Carol Davis,1/14/23,2023-01,2023Q1,Monday,-12
8566,2006,7,1/2/23,Bluetooth Speaker,Clothing,3,74.08,222.24,34.86,117.66,Premium,Social Media,East,36-45,Debit Card,Bob Smith,7/5/23,2023-01,2023Q1,Monday,-184
11392,1108,19,1/2/23,Kitchen Scale,Electronics,1,9.27,9.27,5.85,3.42,Occasional,Referral,North,36-45,Debit Card,Emma Brown,2/7/23,2023-01,2023Q1,Monday,-36
4419,33,1,1/2/23,Wireless Headphones,Beauty,3,30.21,90.63,16.14,42.21,Premium,Search Engine,South,26-35,Cash,Bob Smith,9/9/23,2023-01,2023Q1,Monday,-250
5398,1739,30,1/2/23,Meditation Cushion,Books,1,15.24,15.24,10.65,4.59,Occasional,Social Media,South,36-45,Cash,Carol Davis,7/11/23,2023-01,2023Q1,Monday,-190
2874,417,19,1/2/23,Kitchen Scale,Electronics,3,9.62,28.86,5.85,11.31,Premium,Email,Central,18-25,PayPal,David Wilson,7/2/23,2023-01,2023Q1,Monday,-181
10500,1388,5,1/2/23,Running Shoes,Home & Garden,1,14.32,14.32,12.85,1.47,Frequent,Direct,East,26-35,Credit Card,Emma Brown,7/11/23,2023-01,2023Q1,Monday,-190
13757,845,45,1/2/23,Protein Bar,Home & Garden,3,5.45,16.35,3.66,5.37,Frequent,Email,West,26-35,Cash,,9/18/23,2023-01,2023Q1,Monday,-259
9656,2477,11,1/2/23,Backpack,Beauty,1,12.71,12.71,10.69,2.02,Frequent,Social Media,North,26-35,Cash,Alice Johnson,1/1/24,2023-01,2023Q1,Monday,-364
5816,469,8,1/2/23,Phone Case,Clothing,3,34.68,104.04,29.22,16.38,Premium,Referral,North,56+,PayPal,Alice Johnson,2/20/23,2023-01,2023Q1,Monday,-49
6932,1556,35,1/2/23,Recipe Book,Home & Garden,2,37.14,74.28,19.39,35.5,Premium,Direct,North,26-35,PayPal,Emma Brown,2/5/23,2023-01,2023Q1,Monday,-34
11138,2406,47,1/2/23,Trail Running Shoes,Clothing,1,12.91,12.91,11.52,1.39,Occasional,Direct,West,18-25,PayPal,Carol Davis,7/26/23,2023-01,2023Q1,Monday,-205
7392,2189,41,1/2/23,Aromatherapy Diffuser,Clothing,1,27.8,27.8,23.17,4.63,Budget Conscious,Social Media,Central,36-45,Cash,Carol Davis,2/11/23,2023-01,2023Q1,Monday,-40
9383,1846,21,1/2/23,Essential Oils,Clothing,2,49.55,99.1,49.04,1.02,Budget Conscious,Search Engine,East,18-25,Credit Card,Carol Davis,1/31/23,2023-01,2023Q1,Monday,-29
3118,305,36,1/2/23,Face Mask Set,Automotive,2,7.6,15.2,5.46,4.28,Premium,Search Engine,South,36-45,PayPal,Bob Smith,8/31/23,2023-01,2023Q1,Monday,-241
14924,448,31,1/2/23,Wireless Earbuds,Sports,2,11.68,23.36,8.44,6.48,Occasional,Direct,North,56+,Debit Card,Carol Davis,8/23/23,2023-01,2023Q1,Monday,-233
2680,1147,15,1/2/23,Notebook Set,Books,3,4.99,14.97,4.07,2.76,Premium,Direct,West,26-35,Cash,Bob Smith,11/16/23,2023-01,2023Q1,Monday,-318
527,521,33,1/2/23,Air Purifier,Sports,1,17.62,17.62,9.89,7.73,Occasional,Direct,North,36-45,Credit Card,Emma Brown,12/5/23,2023-01,2023Q1,Monday,-337
1090,1216,25,1/2/23,Protein Powder,Books,1,10.81,10.81,6.92,3.89,Frequent,Referral,West,46-55,Debit Card,Carol Davis,1/28/23,2023-01,2023Q1,Monday,-26
2328,1402,6,1/2/23,Yoga Mat,Clothing,2,12.7,25.4,9.35,6.7,Budget Conscious,Search Engine,West,56+,Credit Card,Emma Brown,9/20/23,2023-01,2023Q1,Monday,-261
1207,2359,25,1/2/23,Protein Powder,Books,2,13.33,26.66,6.92,12.82,Occasional,Search Engine,West,26-35,Debit Card,Alice Johnson,10/8/23,2023-01,2023Q1,Monday,-279
12996,1659,2,1/2/23,Smart Watch,Electronics,3,17.43,52.29,14.07,10.08,Premium,Search Engine,South,26-35,Credit Card,Emma Brown,1/23/23,2023-01,2023Q1,Monday,-21
11343,1954,21,1/2/23,Essential Oils,Clothing,3,67.88,203.64,49.04,56.52,Premium,Referral,Central,36-45,Cash,Bob Smith,5/26/23,2023-01,2023Q1,Monday,-144
12172,1599,36,1/2/23,Face Mask Set,Automotive,2,7.28,14.56,5.46,3.64,Frequent,Direct,West,26-35,Credit Card,Carol Davis,5/7/23,2023-01,2023Q1,Monday,-125
4390,205,28,1/2/23,Art Supplies,Beauty,2,25.74,51.48,18.83,13.82,Premium,Social Media,Central,36-45,PayPal,David Wilson,8/7/23,2023-01,2023Q1,Monday,-217
4686,2133,47,1/2/23,Trail Running Shoes,Clothing,2,12.05,24.1,11.52,1.06,Occasional,Referral,North,36-45,Credit Card,Bob Smith,8/31/23,2023-01,2023Q1,Monday,-241
886,1257,24,1/2/23,LED Strip Lights,Electronics,3,5.65,16.95,4.25,4.2,Occasional,Social Media,North,46-55,Debit Card,Alice Johnson,6/19/23,2023-01,2023Q1,Monday,-168
13067,12,19,1/2/23,Kitchen Scale,Electronics,1,8.83,8.83,5.85,2.98,Occasional,Search Engine,West,36-45,Debit Card,Bob Smith,9/29/23,2023-01,2023Q1,Monday,-270
7703,1491,9,1/2/23,Desk Lamp,Beauty,1,14.81,14.81,10.31,4.5,Premium,Direct,Central,26-35,Credit Card,Alice Johnson,10/23/23,2023-01,2023Q1,Monday,-294
47,348,5,1/2/23,Running Shoes,Home & Garden,8,14.35,114.8,12.85,12,Occasional,Social Media,West,26-35,Cash,Alice Johnson,9/28/23,2023-01,2023Q1,Monday,-269
11322,2074,33,1/2/23,Air Purifier,Sports,2,18.97,37.94,9.89,18.16,Frequent,Direct,North,26-35,Debit Card,David Wilson,8/9/23,2023-01,2023Q1,Monday,-219
11326,1550,31,1/2/23,Wireless Earbuds,Sports,1,8.52,8.52,8.44,0.08,Budget Conscious,Social Media,East,26-35,Credit Card,,5/26/23,2023-01,2023Q1,Monday,-144
14125,257,44,1/2/23,Smart Bulb,Home & Garden,3,14.96,44.88,8.16,20.4,Occasional,Social Media,South,46-55,PayPal,Bob Smith,1/10/23,2023-01,2023Q1,Monday,-8
4958,1636,18,1/2/23,Plant Pot,Electronics,1,26.42,26.42,13.22,13.2,Occasional,Social Media,East,56+,Debit Card,Bob Smith,5/21/23,2023-01,2023Q1,Monday,-139
1352,2149,31,1/2/23,Wireless Earbuds,Sports,2,11.17,22.34,8.44,5.46,Frequent,Search Engine,North,56+,Cash,David Wilson,7/2/23,2023-01,2023Q1,Monday,-181
9871,258,17,1/2/23,Gaming Mouse,Electronics,1,7.58,7.58,5.45,2.13,Budget Conscious,Referral,North,46-55,Cash,Bob Smith,1/3/23,2023-01,2023Q1,Monday,-1
6737,2152,18,1/2/23,Plant Pot,Electronics,3,22.64,67.92,13.22,28.26,Frequent,Email,Central,56+,Credit Card,Emma Brown,1/2/23,2023-01,2023Q1,Monday,0
4951,1271,37,1/2/23,Gaming Keyboard,Automotive,3,20.83,62.49,14.33,19.5,Occasional,Email,Central,36-45,Debit Card,,5/29/23,2023-01,2023Q1,Monday,-147
14910,1825,27,1/2/23,Hiking Boots,Beauty,3,7.27,21.81,6.14,3.39,Occasional,Email,North,26-35,Debit Card,David Wilson,11/8/23,2023-01,2023Q1,Monday,-310
4283,2456,24,1/2/23,LED Strip Lights,Electronics,3,6.35,19.05,4.25,6.3,Frequent,Search Engine,North,56+,Cash,Alice Johnson,6/2/23,2023-01,2023Q1,Monday,-151
2321,860,22,1/2/23,Car Phone Mount,Books,1,16.48,16.48,12.11,4.37,Occasional,Search Engine,West,36-45,Cash,Emma Brown,4/30/23,2023-01,2023Q1,Monday,-118
10761,447,15,1/2/23,Notebook Set,Books,2,4.35,8.7,4.07,0.56,Occasional,Email,West,46-55,PayPal,David Wilson,8/13/23,2023-01,2023Q1,Monday,-223
3558,69,41,1/2/23,Aromatherapy Diffuser,Clothing,2,33.25,66.5,23.17,20.16,Frequent,Search Engine,South,26-35,PayPal,Alice Johnson,4/3/23,2023-01,2023Q1,Monday,-91
